document,type,word,count
Answers to questions about custody of children and related issues,LOCATION,Jerusalem,1.0
Answers to questions about custody of children and related issues,LOCATION,Mecca,1.0
Answers to questions about custody of children and related issues,ORGANIZATION,Muslims,6.0
Answers to questions about custody of children and related issues,ORGANIZATION,Islam,5.0
Answers to questions about custody of children and related issues,ORGANIZATION,Kuwaitis,3.0
Answers to questions about custody of children and related issues,ORGANIZATION,Hanafis,1.0
Answers to questions about custody of children and related issues,ORGANIZATION,Mujahidin,1.0
Answers to questions about custody of children and related issues,PERSON,Allah,36.0
Answers to questions about custody of children and related issues,PERSON,Shaykh,8.0
Answers to questions about custody of children and related issues,PERSON,Ahmad,7.0
Answers to questions about custody of children and related issues,PERSON,Malik,7.0
Answers to questions about custody of children and related issues,PERSON,God,6.0
Answers to questions about custody of children and related issues,PERSON,Al-Shafi'i,5.0
Answers to questions about custody of children and related issues,PERSON,Al-Islam,4.0
Answers to questions about custody of children and related issues,PERSON,Al-Nawawi,3.0
Answers to questions about custody of children and related issues,PERSON,Muhammad,3.0
Answers to questions about custody of children and related issues,PERSON,Shafi,3.0
Answers to questions about custody of children and related issues,PERSON,Abi,2.0
Answers to questions about custody of children and related issues,PERSON,Al-Shawkani,2.0
Answers to questions about custody of children and related issues,PERSON,Abdullah,1.0
Answers to questions about custody of children and related issues,PERSON,Abu-Abd-al-Rahman,1.0
Answers to questions about custody of children and related issues,PERSON,Abu-Hanifah,1.0
Answers to questions about custody of children and related issues,PERSON,Al-Awtar,1.0
Answers to questions about custody of children and related issues,PERSON,Al-Faqih,1.0
Answers to questions about custody of children and related issues,PERSON,Al-Khatib,1.0
Answers to questions about custody of children and related issues,PERSON,Al-Tabari,1.0
Answers to questions about custody of children and related issues,PERSON,Atiyah,1.0
Answers to questions about custody of children and related issues,PERSON,Bani,1.0
Answers to questions about custody of children and related issues,PERSON,Hamzah,1.0
Answers to questions about custody of children and related issues,PERSON,Khalil,1.0
Answers to questions about custody of children and related issues,PERSON,Maliki,1.0
Answers to questions about custody of children and related issues,PERSON,Mufti,1.0
Answers to questions about custody of children and related issues,PERSON,Mukhtasar,1.0
Chief of Staff Committee,PERSON,God,1.0
Comments on the question of Abu Mus’ab,LOCATION,Afghanistan,1.0
Comments on the question of Abu Mus’ab,LOCATION,Badr,1.0
Comments on the question of Abu Mus’ab,LOCATION,Iran,1.0
Comments on the question of Abu Mus’ab,ORGANIZATION,Muslims,5.0
Comments on the question of Abu Mus’ab,ORGANIZATION,Hanafis,2.0
Comments on the question of Abu Mus’ab,ORGANIZATION,Mujahidin,2.0
Comments on the question of Abu Mus’ab,ORGANIZATION,Fatah,1.0
Comments on the question of Abu Mus’ab,ORGANIZATION,Islam,1.0
Comments on the question of Abu Mus’ab,PERSON,God,10.0
Comments on the question of Abu Mus’ab,PERSON,Ansar,3.0
Comments on the question of Abu Mus’ab,PERSON,Shaykh,3.0
Comments on the question of Abu Mus’ab,PERSON,Abi,1.0
Comments on the question of Abu Mus’ab,PERSON,Abu-Al-Layth,1.0
Comments on the question of Abu Mus’ab,PERSON,Al-Ansar,1.0
Comments on the question of Abu Mus’ab,PERSON,Al-Islam,1.0
Comments on the question of Abu Mus’ab,PERSON,Almighty,1.0
Comments on the question of Abu Mus’ab,PERSON,Sulayman,1.0
